Source,Target,Dialogues,Type,Time in Movie,Start Time Code,End Time Code,Time Duration
Mom,Riley,Nice Job,Dialogue,Past,,,
Joy,,"69
00:05:03,765 --> 00:05:06,102
- Woo-hoo!
- Yeah!
",Exclamation,Present,,,
Anger,,"69
00:05:03,765 --> 00:05:06,102
- Woo-hoo!
- Yeah!
",Exclamation,Present,,,
Sadness,,"69
00:05:03,765 --> 00:05:06,102
- Woo-hoo!
- Yeah!
",Exclamation,Present,,,
Disgust,,"69
00:05:03,765 --> 00:05:06,102
- Woo-hoo!
- Yeah!
",Exclamation,Present,,,
Fear,,"""69
00:05:03,765 --> 00:05:06,102
- Woo-hoo!
- Yeah!
""",Exclamation,Present,,,
Joy,Me,"70
00:05:16,458 --> 00:05:20,869
And each core memory powers
a different aspect of Riley's personality.

71
00:05:20,894 --> 00:05:23,244
Like. Hockey Island. 

72
00:05:25,130 --> 00:05:28,022
Goofball Island
is my personal favorite.",Statement,Present,,,
Dad,Riley,"73
00:05:28,299 --> 00:05:30,889
Come back here,
you little monkey!",Dialogue,Past,,,
Joy,Me,"75
00:05:35,449 --> 00:05:38,223
Friendship Island is pretty good too.

76
00:05:39,735 --> 00:05:42,484
Oh. I love Honesty Island.

77
00:05:42,509 --> 00:05:43,945
And that's the truth.

78
00:05:43,970 --> 00:05:46,801
And of course,
Family Island is amazing.

79
00:05:48,276 --> 00:05:53,094
The point is. The islands are personality
are what make Riley, Riley.",Voice over,present,,,
Riley,,"81
00:06:01,149 --> 00:06:03,656
Lava! Hoo!

82
00:06:04,503 --> 00:06:08,694
- Who's your friend who likes to play?
- Bing Bong. Bing Bong.",Exclamation,Past,,,
Dad,Riley,"83
00:06:08,766 --> 00:06:11,226
Hey, very nice.",Statement,Past,,,
Riley,,"84
00:06:14,839 --> 00:06:16,787
- Agh.",Exclamation,past,,,
Fear,,"84
00:06:14,839 --> 00:06:16,787
- Agh.
- Brain freeze!

85
00:06:16,826 --> 00:06:18,378
- Agh!
- Awh!",Exclamation,Past,,,
Riley,,"87
00:06:23,864 --> 00:06:26,954
- Yeah!
- Yeh!",Exclamation,Past,,,
Joy,,"87
00:06:23,864 --> 00:06:26,954
- Yeah!
- Yeh!",Exclamation,Past,,,
Dad,Riley,"88
00:06:27,914 --> 00:06:31,182
- Good night, kiddo.",Dialogue,present,,,
Riley,Dad,"88
00:06:27,914 --> 00:06:31,182
- Good night, kiddo.
- Good night, Dad.",Dialogue,present,,,
Joy,,"90
00:06:37,345 --> 00:06:39,258
We're out.

91
00:06:39,283 --> 00:06:42,145
That's what I'm talking about.
Woo! Another perfect day.

92
00:06:42,170 --> 00:06:43,403
Nice job everybody.

93
00:06:43,428 --> 00:06:46,070
Let's get those memories
down to long term.",Statement,present,,,
Fear,,"94
00:06:50,414 --> 00:06:52,098
Alright. We did not die today.

95
00:06:52,123 --> 00:06:55,009
I call that an
unqualified success.",Statement,present,,,
Joy,,"96
00:07:09,856 --> 00:07:12,203
And, that's it.
We love our girl.

97
00:07:12,228 --> 00:07:14,775
She's got great friends
and a great house.

98
00:07:14,800 --> 00:07:16,748
Things couldn't be better.

99
00:07:16,773 --> 00:07:19,523
After all. Riley is 11 now.

100
00:07:19,548 --> 00:07:21,164
What could happen?",Statement,present,,,
Joy,,"102
00:07:22,249 --> 00:07:23,644
- What?",Exclamation,present,,,
Fear,,"103
00:07:23,669 --> 00:07:25,996
- Hnh!
- Aw!
",Exclamation,present,,,
Anger,,"103
00:07:23,669 --> 00:07:25,996
- Hnh!
- Aw!
",Exclamation,present,,,
Sadness,,"103
00:07:23,669 --> 00:07:25,996
- Hnh!
- Aw!
",Exclamation,present,,,
Disgust,,"103
00:07:23,669 --> 00:07:25,996
- Hnh!
- Aw!
",Exclamation,present,,,
Joy,,"104
00:07:28,004 --> 00:07:30,216
Okay. Not what I had in mind.",Statement,present,,,
Joy,,"
106
00:07:54,607 --> 00:07:57,818
Hey, look. The Golden Gate Bridge,
isn't that great?

107
00:07:57,852 --> 00:08:00,220
It's not made up of solid
gold like we thought,

108
00:08:00,245 --> 00:08:02,391
which is kind of disappointed.
But still...
",Statement,present,,,
Fear,,"109
00:08:02,416 --> 00:08:04,796
I sure am glad you told me
earthquakes are a myth, Joy.

110
00:08:04,821 --> 00:08:09,134
- Otherwise I be terrified right now.",Dialogue,present,,,
Joy,,"110
00:08:04,821 --> 00:08:09,134
- Otherwise I be terrified right now.
- Yeah.Tea ",Dialogue,present,,,
Anger,,"111
00:08:11,248 --> 00:08:13,609
These are my kind of people.",Statement,present,,,
Dad,,"112
00:08:13,634 --> 00:08:15,030
Alright, just a few more blocks.

113
00:08:15,055 --> 00:08:17,330
- We're almost to our new house.",statement,present,,,
Anger,Dad,"113
00:08:15,055 --> 00:08:17,330
- We're almost to our new house.
- Step on it, Daddy.",statement,present,,,
Disgust,,"114
00:08:17,355 --> 00:08:20,525
Why can't we just live in the smelly car.
We're already been in it forever.",statement,present,,,
Joy,Disgust,"115
00:08:20,550 --> 00:08:22,425
Which... 
actually was really lucky.

116
00:08:22,450 --> 00:08:24,298
Because that gave us
plenty of time to think

117
00:08:24,323 --> 00:08:26,270
about what our new house
is going to look like.

118
00:08:26,295 --> 00:08:29,162
What? Let's review
the top 5 daydreams.
",Dialogue,present,,,
Fear,To all emotions,"119
00:08:29,187 --> 00:08:31,002
- Woo, that looks safe.",statement,present,,,
Sadness,To all emotions,"119
00:08:29,187 --> 00:08:31,002
- Woo, that looks safe.
- That looks nice.",statement,present,,,
Joy,To all emotions,"120
00:08:31,027 --> 00:08:33,637
Oh. This will be great for Riley.
Oh! No, no, no... this one.",statement,present,,,
Disgust,Joy,"121
00:08:33,662 --> 00:08:35,937
Joy for the last time.
She cannot live in a cookie.",Dialogue,present,,,
Anger,,"122
00:08:35,962 --> 00:08:38,894
That's the one.
It comes with a dragon.",statement,present,,,
Mom,,"123
00:08:39,675 --> 00:08:42,002
Are we getting close?
I can feel it.

124
00:08:42,623 --> 00:08:44,854
Here it is.
Here's our new house.

125
00:08:44,879 --> 00:08:46,781
And...",statement,present,,,
Joy,To all emotions,"126
00:08:52,141 --> 00:08:55,168
Maybe, it's nice on the inside.",statement,present,,,
Anger,To all emotions,"127
00:08:59,742 --> 00:09:01,643
- We're suppose to live here?",statement,present,,,
Sadness,To all emotions,"127
00:08:59,742 --> 00:09:01,643
- We're suppose to live here?
- Do we have to?
",statement,present,,,
Disgust,To all emotions,"128
00:09:01,668 --> 00:09:03,785
I'm telling you, it smells
that something died in here.",statement,present,,,
Fear,To all emotions,"129
00:09:03,810 --> 00:09:06,544
- Can you die from moving?",statement,present,,,
Joy,To all emotions,"129
00:09:03,810 --> 00:09:06,544
- Can you die from moving?
- Guys, you are overreacting.

130
00:09:06,569 --> 00:09:09,092
- Nobody is dieing.",statement,present,,,
Disgust,To all emotions,"130
00:09:06,569 --> 00:09:09,092
- Nobody is dieing.
- A dead mouse!",statement,present,,,
Disgust,To all emotions,"131
00:09:09,117 --> 00:09:10,336
- Great.
- I'm gonna be sick.",statement,present,,,
Fear,To all emotions,"132
00:09:10,361 --> 00:09:11,272
It's a house of the dead.
What're we gonna do?

133
00:09:11,297 --> 00:09:13,825
- We're gonna get rabies.",statement,present,,,
Anger,Fear,"133
00:09:11,297 --> 00:09:13,825
- We're gonna get rabies.
- Get off from me!",statement,present,,,
Joy,To all emotions,"134
00:09:13,850 --> 00:09:15,371
Hey, hey, hey.
All through the drive,

135
00:09:15,396 --> 00:09:17,681
Dad talked about how cool
our new room is.

136
00:09:17,705 --> 00:09:19,648
- Let's go check it out.",statement,present,,,
Anger,To all emotions,"137
00:09:19,673 --> 00:09:20,911
Yes, yes, yes...

138
00:09:20,936 --> 00:09:23,241
- No, no, no...",statement,present,,,
Disgust,To all emotions,"138
00:09:20,936 --> 00:09:23,241
- No, no, no...
- I'm starting to envy the dead mouse.
",statement,present,,,
Anger,To all emotions,"139
00:09:23,266 --> 00:09:25,679
Get out the rubber ball.
We're in solitary confinement.",statement,present,,,
Sadness,To all emotions,"140
00:09:25,717 --> 00:09:27,628
- Riley can't live here.",statement,present,,,
Anger,To all emotions,"140
00:09:25,717 --> 00:09:27,628
- Riley can't live here.
- She's right.",statement,present,,,
Fear,To all emotions,"141
00:09:27,653 --> 00:09:29,200
- Really bad.",statement,present,,,
Disgust,To all emotions,"141
00:09:27,653 --> 00:09:29,200
- Really bad.
- It's absolutely the worst.",statement,present,,,
Anger,To all emotions,"142
00:09:29,225 --> 00:09:30,419
- This house stinks.",statement,present,,,
Disgust,To all emotions,"- It's the worst place

143
00:09:30,444 --> 00:09:32,029
- I've been in my entire life.",statement,present,,,
Unknown,To all emotions,"143
00:09:30,444 --> 00:09:32,029
- I've been in my entire life.
- Oh, yeah.
",statement,present,,,
Joy,To all emotions,"144
00:09:32,054 --> 00:09:34,565
Hey, it's nothing our
butterfly curtains couldn't fix.

145
00:09:34,590 --> 00:09:36,972
I read somewhere that an
empty room is an opportunity.",statement,present,,,
Anger,Anger,"146
00:09:36,997 --> 00:09:37,805
Where did you read that?",Dialogue,present,,,
Joy,Anger,"147
00:09:37,830 --> 00:09:39,488
It doesn't matter. I
read it and it's great.

148
00:09:39,513 --> 00:09:41,832
We'll put the bed there.
And the desk over there.
",statement,present,,,
Fear,Riley,"149
00:09:41,857 --> 00:09:43,174
The hock lamp goes there.",statement,present,,,
Anger,Riley,"150
00:09:43,199 --> 00:09:45,459
- Put the chair there.",statement,present,,,
Disgust,Riley,"150
00:09:43,199 --> 00:09:45,459
- Put the chair there.
- Oh, the trophy collections.",statement,present,,,
Fear,Riley,"151
00:09:45,484 --> 00:09:46,864
- There...
- Stars!",statement,present,,,
Disgust,Riley,"152
00:09:46,889 --> 00:09:48,619
- I like that.
- Now, we're talking.",statement,present,,,
Joy,Riley,"153
00:09:48,644 --> 00:09:50,855
Let's go get our stuff
from the moving van.",statement,present,,,
Dad,Unknown,"\154
00:09:50,880 --> 00:09:53,292
Alright. Goodbye.",statement,present,,,
Dad,Mom,"154
00:09:50,880 --> 00:09:53,292
Alright. Goodbye.
Well, guess what?

155
00:09:53,317 --> 00:09:55,248
The moving van won't
be here till next Thursday.",Dialogue,present,,,
Mom,Dad,"156
00:09:55,273 --> 00:09:56,751
Your kidding.",Dialogue,present,,,
Fear,Riley,"157
00:09:56,868 --> 00:10:00,071
Our van is lost?
It's the worst day ever.",statement,present,,,
Mom,Dad,"158
00:10:00,872 --> 00:10:03,139
- You said it would be here yesterday.",Dialogue,present,,,
Dad,Mom,"159
00:10:03,164 --> 00:10:05,000
- That's what they told me.",Dialogue,present,,,
Unknown,To all emotions,"160
00:10:05,025 --> 00:10:07,406
- They are stress out. - Arguing.
- What're we going to do.",statement,present,,,
Disgust,To all emotions,"161
00:10:07,987 --> 00:10:10,260
- What's their problem?",statement,present,,,
Joy,To all emotions,"161
00:10:07,987 --> 00:10:10,260
- What's their problem?
- I've got a great idea.",statement,present,,,
Mom,Dad,"162
00:10:10,285 --> 00:10:12,132
Did you even read the contract?",Dialogue,present,,,
Riley,Dad,"163
00:10:12,157 --> 00:10:14,537
Anderson makes her move.
She's closing in.",statement,present,,,
Riley,Mom,"163
00:10:12,157 --> 00:10:14,537
Anderson makes her move.
She's closing in.",statement,present,,,
Dad,Riley,"164
00:10:14,562 --> 00:10:16,889
Hey. Oh no, you're not.",statement,present,,,
Riley,Dad,"165
00:10:16,914 --> 00:10:19,437
- She's running for the shot.",statement,present,,,
Dad,Riley,"165
00:10:16,914 --> 00:10:19,437
- She's running for the shot.
- Coming behind you, watch out.",statement,present,,,
Riley,Dad,"166
00:10:19,462 --> 00:10:21,643
And she scores! Yeah!",statement,present,,,
Joy,,"167
00:10:21,674 --> 00:10:23,578
- Woo-hoo.",statement,present,,,
Fear,,"167
00:10:21,674 --> 00:10:23,578
- Woo-hoo.
- Yo-ho.",statement,present,,,
Riley,Mom,"168
00:10:23,603 --> 00:10:25,206
Come on. Grandma.",statement,present,,,
Mom,Riley,"169
00:10:25,231 --> 00:10:26,747
Ha. Grandma?",statement,present,,,
Joy,To all emotions,Uh-oh. She's putting her hair up. We're in for it.,statement,present,,,
Dad,Riley,"Sorry, hold on.",statement,,,,
Dad,Mom,"Sorry, hold on.",statement,,,,
Joy,Dad,Wait. What?,,,,,
Dad,Unknown,"You’re kidding. Alright. Stall for me, I’ll be right there.",,,,,
Dad,Mom,"The investors are supposed to show up on Thursday, not today. I gotta go.",,,,,
Mom,Dad,"Mom: It’s okay, we get it.",,,,,
Dad,Mom,"Dad: You’re the best. Thanks, hon.",,,,,
,,[he kisses her and waves to Riley],,,,,
Dad,Riley,"Dad: See you, sweetie.",,,,,
,,[Dad turns and leaves the house],,,,,
Fear,Riley,Fear: Dad just left us.,,,,,
Sadness,Riley,"Sadness: Oh, he doesn’t love us anymore. That’s sad. I should drive, right?",,,,,
,,[as she goes to take over the control console Joy stops her],,,,,
Sadness,Joy,"Sadness: Joy, what are you doing?",,,,,
Joy,Sadness,"Joy: Uh, just give me one second. Um, you know what I’ve realized? Riley hasn’t had lunch. Remember?",,,,,
Riley,Mom,"Riley: [to her mom] Hey, I saw a pizza place down the street. Maybe we could try that.",,,,,
Mom,Riley,Mom: Pizza sounds delicious.,,,,,
Fear,,Fear: Pizza!,,,,,
Anger,,Anger: Pizza.,,,,,
Disgust,,"Disgust: Yes, pizza.",,,,,
Anger,,Anger: Great idea. Let’s get it.,,,,,
,,"[Riley and her mom are at the pizza place, the girl at the counter hands over a pizza with broccoli on top]",,,,,
Fear,To all emotions,Fear: What the heck is that?,,,,,
Joy,To all emotions,Joy: Who puts broccoli on pizza!,,,,,
Disgust,To all emotions,"Disgust: That’s it, I’m done.",,,,,
Anger,Unknown,"Anger: Congratulations San Francisco, you’ve ruined pizza! First the Hawaiians, and now you!",,,,,
,,[as Riley and her mom walk back to their house],,,,,
Mom,Riley,"Mom: What kind of a pizza place only serves one kind of pizza? Must be a San Francisco thing. Still, it’s not as bad as the soup at that diner in Nebraska.",,,,,
Riley,Mom,"Riley: Oh, yeah. The spoon stood up in the soup by itself. That was disgusting.",,,,,
,,[Joy feels relief as Riley and her mom continue to bond],,,,,
Joy,Joy,Joy: We’re good. Family’s running.,,,,,
Mom,Riley,"Mom: The drive out was pretty fun, huh? What was your favorite part?",,,,,
Anger,Mom,Anger: Spitting out of the car window!,,,,,
Disgust,Mom,Disgust: Definitely not when Dad was singing.,,,,,
Fear,Mom,Fear: Wearing a seat belt.,,,,,
Joy,Mom,"Joy: Oh, what about the time with the dinosaur?",,,,,
,,[Joy quickly brings up the memory on the control console],,,,,
Fear,To all emotions,"Fear: Oh, that’s the one.",,,,,
,,[to her mom as she recalls the memory],,,,,
Riley,Mom,"Riley: I like that time with the dinosaur, that was pretty funny.",,,,,
,,[suddenly Riley’s becomes sad and her memory clouds over],,,,,
Joy,To all emotions,"Joy: Wait, what? What happened?",,,,,
,,[the emotions turn to see Sadness touching the memory],,,,,
Fear,To all emotions,Fear: She did something to the memory.,,,,,
,,[Joy takes the memory orb],,,,,
Joy,Sadness,Joy: What did you do?,,,,,
Sadness,Joy,Sadness: I…I just touched it.,,,,,
Joy,Sadness,Joy: That shouldn’t make it change.,,,,,
Fear,Joy,"Fear: Oh, change it back, Joy!",,,,,
Joy,Sadness,Joy: I’m trying.,,,,,
Anger,Joy,Anger: You can’t change it back?,,,,,
Joy,Anger,Joy: No. I guess I can’t.,,,,,
Disgust,Sadness,"Disgust: Good going, Sadness. Now when Riley thinks of that moment with Dad, she’s gonna feel sad. Bravo.",,,,,
Sadness,Joy,"Sadness: I’m sorry, Joy. I don’t really know. I thought maybe if you, if you, I…",,,,,
Disgust,Joy,"Disgust: Joy, we got a stairway coming up.",,,,,
,,[Riley and her mom are approaching a large sidewalk stairway],,,,,
Joy,Sadness,Joy: Just don’t touch any other memories until we figured out what’s going on.,,,,,
Sadness,Joy,Sadness: Okay.,,,,,
Joy,To all emotions,Joy: Alright. Get ready. This is the monster railing and we are riding it all the way down.,,,,,
,,[Riley gets ready to slide down the banister when she suddenly looks sad and step off],,,,,
Joy,To all emotions,"Joy: Wait, what? What happened?",,,,,
,,[suddenly a memory orb slides over and hits Joy on her leg],,,,,
Fear,To all emotions,Fear: A core memory!,,,,,
Joy,To all emotions,"Joy: Oh, no.",,,,,
,,[suddenly Goofball Island stops working],,,,,
Joy,Sadness,"Joy: Sadness, what are you doing?",,,,,
Sadness,Joy,"Sadness: It looked like one was crooked, so I opened it and then it fell out.",,,,,
,,"[Joy puts the core memory back into its place and Goofball Island starts working again, Riley cheers up and slides down the banister]",,,,,
Sadness,To all emotions,"Sadness: It’s just that, I wanted to maybe hold one.",,,,,
,,[Sadness goes to pick up another memory orb],,,,,
Fear,Joy,Fear: Joy!,,,,,
,,[Joy pushes Sadness’s hand up to stop her],,,,,
Joy,Sadness,"Joy: Woah, woah, woah! Sadness, you nearly touch a core memory. And if you touch them, we can’t change them back!",,,,,
Sadness,To all emotions,"Sadness: Oh, I know. I’m sorry. Something’s wrong with me. I… it’s like I’m having a break down.",,,,,
Joy,Sadness,Joy: You’re not having a break down. It’s stress.,,,,,
Sadness,Joy,Sadness: I keep making mistakes like that. I’m awful.,,,,,
Joy,Sadness,"Joy: No, you’re not.",,,,,
Sadness,Joy,Sadness: And annoying.,,,,,
Joy,Sadness,"Joy: They, well, uh, you know what? You can’t focus on what’s going wrong. There’s always a way to turn things around, to find the fun.",,,,,
Sadness,Joy,"Sadness: Yeah, find the fun. I don’t know how to do that.",,,,,
Joy,Sadness,"Joy: Okay. Well, try to think of something funny.",,,,,
Sadness,Joy,"Sadness: Um. Oh, remember the funny movie where the dog dies?",,,,,
Joy,Sadness,"Joy: Oh, yeah. That’s not…",,,,,
Joy,Sadness,"Joy: What about that time, with Meg? When Riley laughed so hard, milk came out of her nose.",,,,,
,,[Joy starts laughing as she remembers],,,,,
Joy,Sadness,Joy: Come on.,,,,,
Sadness,Joy,"Sadness: Yeah, that hurt. It felt like fire. It was awf…",,,,,
Joy,Sadness,"Joy: Okay, okay. Don’t think of that. Let’s try something else. Um, what’re your favorite things to do?",,,,,
Sadness,Joy,"Sadness: My favorite? Um, well, I like it when we’re outside.",,,,,
Joy,Sadness,"Joy: That’s good! Like, there’s the beach and sunshine. Oh, like the time we buried Dad in the sand up to his neck.",,,,,
Sadness,Joy,Sadness: I was thinking more like rain.,,,,,
Joy,Sadness,"Joy: Rain. Rain is my favorite too! We can stomp around the puddles, you know? There’s cool umbrellas, lightning storms.",,,,,
Sadness,Joy,"Sadness: More like when the rain runs down our back, and makes our shoe soggy. And we get all cold, shivery and everything just starts feeling droopy.",,,,,
,,[Sadness falls onto her face crying],,,,,
Joy,Sadness,"Joy: Oh. Hey, hey, hey. Easy. Why are you crying? It’s…it’s like really the opposite of what we’re going for here.",,,,,
Sadness,Joy,Sadness: Crying helps me slow down and obsessive over the weight of life’s problems.,,,,,
Joy,Sadness,"Joy: You know what? Let’s, uh, think about something else. How about we read some mind manuals? Huh? Sounds fun.",,,,,
,,[she takes Sadness over the manuals],,,,,
Sadness,Joy,Sadness: I’ve read most of them.,,,,,
Joy,Sadness,"Joy: Well, have you read this one? This seem interesting.",,,,,
,,[she picks up a manual and opens to read it],,,,,
Joy,Sadness,Joy: Long Term Memory Retrieval Volume 47.,,,,,
,,[she give the manual to Sadness],,,,,
Sadness,Joy,Sadness: No.,,,,,
Joy,Sadness,"Joy: Ooh, a real page turner.",,,,,
,,[reads from the manual],,,,,
Sadness,Joy,Sadness: Long term memory data selection via channels sub-grouping.,,,,,
Joy,Sadness,"Joy: See! Fun already. Oh, you lucky dog. You’re reading these cool things, I gotta go work. Life is so unfair.",,,,,
,,"[Joy walks off looking worn out from trying to cheer Sadness up. A green memory orb rolls in and Joy's face falls with a groan.Riley walks down the stairs and watches her parents, her mom is busy cleaning up the house and her dad is on the phone with his work]",,,,,
Riley,Mom,"Riley: Mom, Dad. Come kiss me good night.",,,,,
Mom,Riley,Mom: Be right there!,,,,,
,,[Riley goes back to her bed looking upset that her parents are so busy],,,,,
Fear,To all emotions,Fear: Did you hear Dad? He sounded really upset.,,,,,
,,[suddenly a car outside goes by with a loud engine making Riley scared],,,,,
Fear,Disgust,Fear: What was that? Was it a bear? It’s a bear!,,,,,
Disgust,Fear,Disgust: There are no bears in San Francisco.,,,,,
Anger,,"Anger: I saw a really hairy guy, he looked like a bear.",,,,,
Fear,,"Fear: Ooh, I’m so jumpy. My nerves are shot!",,,,,
Disgust,Fear,Disgust: Ew! I don’t wanna hear about your nerves.,,,,,
Anger,,Anger: I’ll tell you what it is. This move has been a bust.,,,,,
Fear,,Fear: That’s what I’ve been telling you guys. There are at least 37 things for Riley to be scared of right now.,,,,,
Disgust,,Disgust: The smell alone is enough to make her gag.,,,,,
Anger,,Anger: I can’t believe Mom and Dad moved us here!,,,,,
Joy,To all emotions,"Joy: Look, I get it. You guys have concerns. But we’ve been through worse. Tell you what, let’s make a list of all the things Riley should be happy about.",,,,,
Anger,Joy,Anger: Fine. Let’s see. This house stinks. Our room stinks.,,,,,
Disgust,Joy,Disgust: Pizza is weird here.,,,,,
Sadness,To all emotions,Sadness: Our friends are back home.,,,,,
Fear,To all emotions,Fear: And all our stuff is in the missing van.,,,,,
Joy,To all emotions,"Joy: Oh, come on. It could be worse.",,,,,
Disgust,Joy,"Disgust: Yeah, Joy. We could be lying on a dirty floor, in a bag.",,,,,
#N/A,,[we see Riley sleeping on the floor in her sleeping bag],,,,,
Joy,To all emotions,"Joy: Okay, I admit it. We had a rough start. But think of all the good things that…",,,,,
Anger,Joy,"Anger: No, Joy. There’s absolutely no reason for Riley to be happy right now. Let us handle this.",,,,,
